Run_ID,Method,Mean_IoU,Dice_Score,LocAcc_030,LocAcc_050,HD95_px,ASSD_px,Bending_Energy,Pointing_Acc
1,Baseline 1 : Grad-CAM (Raw BBox),0.16944530639428138,0.26215846500288487,0.175,0.025,257.89375930066154,146.9530426376597,0.8499999999999999,0.46
1,Baseline 2 : Grad-CAM++ (Raw BBox),0.17361298336439424,0.2692948968779171,0.2,0.025,248.64049367656767,142.4061741417766,0.8499999999999999,0.5
1,Baseline 3 : Grad-CAM++ (Convex Hull),0.17361298336439424,0.2692948968779171,0.2,0.025,267.74290719164003,152.583628399976,0.12000000000000002,0.5
1,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.12112669277044326,0.1970706653032074,0.0875,0.0,286.8286722593766,158.8718723770216,0.08852205543435925,0.5
2,Baseline 1 : Grad-CAM (Raw BBox),0.18322618459973894,0.2842962735607758,0.23170731707317074,0.024390243902439025,251.7386473540492,136.72021406755303,0.8499999999999996,0.52
2,Baseline 2 : Grad-CAM++ (Raw BBox),0.1919125864469074,0.29827305050003716,0.23170731707317074,0.024390243902439025,245.06949126752056,133.70683594555624,0.8499999999999996,0.48
2,Baseline 3 : Grad-CAM++ (Convex Hull),0.1919125864469074,0.29827305050003716,0.23170731707317074,0.024390243902439025,266.4380334705412,147.40616706492142,0.12,0.48
2,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.13193662788528515,0.214061330030475,0.0975609756097561,0.012195121951219513,286.39288907809015,146.56815362863043,0.0715064565729413,0.48
3,Baseline 1 : Grad-CAM (Raw BBox),0.16305445460677523,0.25222403380643243,0.1875,0.025,259.88907970411776,161.06784447212493,0.8499999999999999,0.42
3,Baseline 2 : Grad-CAM++ (Raw BBox),0.1638081902723906,0.2535384885302347,0.2125,0.025,263.48085889736745,161.16548403660417,0.8499999999999999,0.38
3,Baseline 3 : Grad-CAM++ (Convex Hull),0.1638081902723906,0.2535384885302347,0.2125,0.025,286.4572203545621,171.99967155640405,0.12000000000000002,0.38
3,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.11587949543118578,0.18759865032372297,0.0875,0.0,308.22251916297233,173.05621179198243,0.08386193153715127,0.38
4,Baseline 1 : Grad-CAM (Raw BBox),0.1747152678573614,0.26610069218364274,0.20987654320987653,0.037037037037037035,252.91513797797327,135.08284102281434,0.8499999999999998,0.52
4,Baseline 2 : Grad-CAM++ (Raw BBox),0.18141749579211158,0.2764066559049862,0.20987654320987653,0.037037037037037035,253.5626376447088,140.18971829909472,0.8499999999999998,0.52
4,Baseline 3 : Grad-CAM++ (Convex Hull),0.18141749579211158,0.2764066559049862,0.20987654320987653,0.037037037037037035,280.3751694620382,154.55947175975263,0.12000000000000001,0.52
4,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.13369469825628383,0.20985566402391137,0.13580246913580246,0.024691358024691357,301.29378750298207,157.74971882987938,0.09763849065205667,0.52
5,Baseline 1 : Grad-CAM (Raw BBox),0.15965106717551528,0.24678421323412028,0.15853658536585366,0.036585365853658534,289.255872265491,175.6996172684381,0.8499999999999996,0.42
5,Baseline 2 : Grad-CAM++ (Raw BBox),0.17008399720812503,0.26333373556560197,0.15853658536585366,0.024390243902439025,262.3480636794423,150.0003010474489,0.8499999999999996,0.44
5,Baseline 3 : Grad-CAM++ (Convex Hull),0.17008399720812503,0.26333373556560197,0.15853658536585366,0.024390243902439025,285.51133330101953,165.499614339564,0.12,0.44
5,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.11487218082561919,0.18675741688948935,0.07317073170731707,0.0,306.83300589608643,165.18662715317058,0.08043978128159114,0.44
6,Baseline 1 : Grad-CAM (Raw BBox),0.14517514240926183,0.2230150267466551,0.13333333333333333,0.04,277.7754786573878,165.8464974338851,0.8499999999999999,0.4
6,Baseline 2 : Grad-CAM++ (Raw BBox),0.15850520217703534,0.24472499830780986,0.16,0.05333333333333334,261.38022052232867,146.5790594756946,0.8499999999999999,0.4
6,Baseline 3 : Grad-CAM++ (Convex Hull),0.15850520217703534,0.24472499830780986,0.16,0.05333333333333334,281.73569542408404,160.82043596066913,0.11999999999999998,0.4
6,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.10018699226351843,0.1610969330755415,0.06666666666666667,0.02666666666666667,305.679107423722,162.43648810471367,0.06074854247484835,0.4
7,Baseline 1 : Grad-CAM (Raw BBox),0.18239100805661748,0.27903537457511995,0.25,0.0125,243.76274755919957,139.5501226520565,0.8499999999999999,0.54
7,Baseline 2 : Grad-CAM++ (Raw BBox),0.19165319875224687,0.2908998374749604,0.2875,0.025,239.29532829439245,139.86770514095116,0.8499999999999999,0.58
7,Baseline 3 : Grad-CAM++ (Convex Hull),0.19165319875224687,0.2908998374749604,0.2875,0.025,264.000726641492,151.62895854974312,0.12000000000000002,0.58
7,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.13367201824541247,0.2132843203963503,0.15,0.0125,292.5559229122109,158.7606331724675,0.09178282307860994,0.58
8,Baseline 1 : Grad-CAM (Raw BBox),0.14016269165420184,0.2211980344115595,0.15853658536585366,0.0,301.6200712072995,191.28914024588823,0.8499999999999996,0.42
8,Baseline 2 : Grad-CAM++ (Raw BBox),0.1568040954976248,0.24702806915076697,0.18292682926829268,0.0,276.686729200799,164.54101971350005,0.8499999999999996,0.4
8,Baseline 3 : Grad-CAM++ (Convex Hull),0.1568040954976248,0.24702806915076697,0.18292682926829268,0.0,299.4808429968707,177.86835320199958,0.12,0.4
8,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.09995983664431303,0.16752750971908129,0.036585365853658534,0.0,319.32404148046044,180.16096277697545,0.0777314342279453,0.4
9,Baseline 1 : Grad-CAM (Raw BBox),0.16700936728200153,0.25653879825593234,0.1686746987951807,0.03614457831325301,263.4315218415375,157.92067454645104,0.8499999999999996,0.4
9,Baseline 2 : Grad-CAM++ (Raw BBox),0.1750761824892503,0.26879692448512554,0.20481927710843373,0.03614457831325301,256.21888160682875,150.77962786716824,0.8499999999999996,0.4
9,Baseline 3 : Grad-CAM++ (Convex Hull),0.1750761824892503,0.26879692448512554,0.20481927710843373,0.03614457831325301,272.91008191326284,163.20773235761342,0.12,0.4
9,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.12482929993056062,0.1986133281209859,0.07228915662650602,0.024096385542168676,292.6369087518368,164.5846960020057,0.0791226261890788,0.4
10,Baseline 1 : Grad-CAM (Raw BBox),0.16506600160010215,0.2524294101565651,0.21333333333333335,0.02666666666666667,262.9923575485376,151.23056394647773,0.8499999999999999,0.3
10,Baseline 2 : Grad-CAM++ (Raw BBox),0.17485110412599766,0.26594571505635145,0.24,0.04,262.7326632385902,150.3849046677304,0.8499999999999999,0.3
10,Baseline 3 : Grad-CAM++ (Convex Hull),0.17485110412599766,0.26594571505635145,0.24,0.04,286.5250190033755,165.56777165551205,0.11999999999999998,0.3
10,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.12658366874247415,0.19995273399978736,0.10666666666666667,0.013333333333333334,314.31976869340014,174.5817496082618,0.10104444371399113,0.3
