Metric,Grad-CAM (Base 1),Grad-CAM++ (Base 2),Convex Hull (Base 3),PROPOSED (B-Spline),95% CI (Proposed),Delta vs Base 2,p-value (vs Base 2)
Mean_IoU,0.1650 ± 0.0141,0.1738 ± 0.0122,0.1738 ± 0.0122,0.1203 ± 0.0126,"[0.1113, 0.1293]",-30.79%,< 1.00e-04
Dice_Score,0.2544 ± 0.0207,0.2678 ± 0.0174,0.2678 ± 0.0174,0.1936 ± 0.0182,"[0.1806, 0.2066]",-27.72%,< 1.00e-04
LocAcc_030,0.1886 ± 0.0367,0.2088 ± 0.0386,0.2088 ± 0.0386,0.0914 ± 0.0334,"[0.0675, 0.1152]",-56.24%,< 1.00e-04
LocAcc_050,0.0263 ± 0.0124,0.0290 ± 0.0140,0.0290 ± 0.0140,0.0113 ± 0.0110,"[0.0035, 0.0192]",-60.91%,1.68e-04
HD95_px,266.1275 ± 18.0614,256.9415 ± 10.7924,279.1177 ± 11.2048,301.4087 ± 11.4267,"[293.2345, 309.5828]",+17.31%,< 1.00e-04
ASSD_px,156.1361 ± 18.0861,147.9621 ± 9.5979,161.1142 ± 9.6399,164.1957 ± 9.7506,"[157.2206, 171.1708]",+10.97%,< 1.00e-04
Bending_Energy,0.8500 ± 0.0000,0.8500 ± 0.0000,0.1200 ± 0.0000,0.0832 ± 0.0121,"[0.0746, 0.0919]",-90.21%,< 1.00e-04
Pointing_Acc,0.4400 ± 0.0724,0.4400 ± 0.0811,0.4400 ± 0.0811,0.4400 ± 0.0811,"[0.3820, 0.4980]",+0.00%,< 1.00e-04
