Run_ID,Method,Mean_IoU,Dice_Score,LocAcc_030,LocAcc_050,HD95_px,ASSD_px,Bending_Energy,Pointing_Acc
1,Baseline 1 : Grad-CAM (Raw BBox),0.23968430828087328,0.3409492029094948,0.3875,0.125,259.15132230735134,139.51801425410935,0.8499999999999999,0.64
1,Baseline 2 : Grad-CAM++ (Raw BBox),0.24102633002094542,0.34681885263984874,0.3875,0.1375,271.34643110201193,144.7507154934579,0.8499999999999999,0.66
1,Baseline 3 : Grad-CAM++ (Convex Hull),0.24102633002094542,0.34681885263984874,0.3875,0.1375,256.28321585473407,145.8005345325958,0.12000000000000002,0.66
1,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.2382394463543444,0.33717531054042454,0.3625,0.175,258.3856560205195,138.02236233786888,0.14864874663018582,0.66
2,Baseline 1 : Grad-CAM (Raw BBox),0.2589110460260659,0.3727333354295628,0.43902439024390244,0.10975609756097561,272.2172105206338,148.03952295780852,0.8499999999999996,0.54
2,Baseline 2 : Grad-CAM++ (Raw BBox),0.2583080349974157,0.37498944519336824,0.4146341463414634,0.13414634146341464,277.0255084786414,142.86916010943705,0.8499999999999996,0.52
2,Baseline 3 : Grad-CAM++ (Convex Hull),0.2583080349974157,0.37498944519336824,0.4146341463414634,0.13414634146341464,271.58676677081934,146.5777038338122,0.12,0.52
2,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.2386921485023369,0.3507211247923212,0.3780487804878049,0.07317073170731707,283.05044328512355,144.23396655640605,47.25023352794712,0.52
3,Baseline 1 : Grad-CAM (Raw BBox),0.251923283357256,0.3582321199365177,0.4125,0.1375,274.0951875058242,140.95132003407713,0.8499999999999999,0.52
3,Baseline 2 : Grad-CAM++ (Raw BBox),0.24805048488322626,0.35620404824049007,0.375,0.1,287.50465432676356,146.09800763571224,0.8499999999999999,0.5
3,Baseline 3 : Grad-CAM++ (Convex Hull),0.24805048488322626,0.35620404824049007,0.375,0.1,266.39360288297604,145.30700564115713,0.12000000000000002,0.5
3,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.2536873110349034,0.3593158671023335,0.425,0.15,273.7077943697003,141.19602080498794,0.1970750964106059,0.5
4,Baseline 1 : Grad-CAM (Raw BBox),0.2399090440663974,0.3496955663151309,0.4444444444444444,0.09876543209876543,270.9994186308523,134.65261697904393,0.8499999999999998,0.56
4,Baseline 2 : Grad-CAM++ (Raw BBox),0.2506824358637896,0.3636589902749998,0.43209876543209874,0.12345679012345678,255.1220774253873,126.43015433353843,0.8499999999999998,0.5
4,Baseline 3 : Grad-CAM++ (Convex Hull),0.2506824358637896,0.3636589902749998,0.43209876543209874,0.12345679012345678,249.9194538358368,128.8931138350418,0.12000000000000001,0.5
4,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.24090105118308613,0.34733672502944424,0.4567901234567901,0.12345679012345678,249.09089329457655,120.29496658246393,0.2537561732099396,0.5
5,Baseline 1 : Grad-CAM (Raw BBox),0.22018698707138823,0.31703905368271784,0.35365853658536583,0.10975609756097561,302.5961515404888,158.56460699345618,0.8499999999999996,0.58
5,Baseline 2 : Grad-CAM++ (Raw BBox),0.2213479974973578,0.32611982748052554,0.32926829268292684,0.07317073170731707,306.2137384144293,152.78196291577385,0.8499999999999996,0.54
5,Baseline 3 : Grad-CAM++ (Convex Hull),0.2213479974973578,0.32611982748052554,0.32926829268292684,0.07317073170731707,282.7735120690464,152.95908597841316,0.12,0.54
5,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.22619743171036094,0.3258574582509224,0.3780487804878049,0.12195121951219512,295.1924347370524,147.93982291724976,0.1349864554445871,0.54
6,Baseline 1 : Grad-CAM (Raw BBox),0.22354143045305383,0.32319690154129715,0.38666666666666666,0.10666666666666667,296.9569763055105,164.80956153513822,0.8499999999999999,0.5
6,Baseline 2 : Grad-CAM++ (Raw BBox),0.22302185490408533,0.3302597455182391,0.4,0.05333333333333334,293.86355989702935,154.0942118673709,0.8499999999999999,0.46
6,Baseline 3 : Grad-CAM++ (Convex Hull),0.22302185490408533,0.3302597455182391,0.4,0.05333333333333334,279.4858072138877,157.20613557476966,0.11999999999999998,0.46
6,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.20639314982336784,0.305041636758826,0.3333333333333333,0.05333333333333334,290.57253613279755,156.89089099068264,0.14887967987712583,0.46
7,Baseline 1 : Grad-CAM (Raw BBox),0.24111570130746968,0.34830366377130095,0.3875,0.075,267.5210430125054,139.51693699592707,0.8499999999999999,0.56
7,Baseline 2 : Grad-CAM++ (Raw BBox),0.2473074800259451,0.3604794979454457,0.375,0.0625,262.47170936446577,126.46522311031868,0.8499999999999999,0.5
7,Baseline 3 : Grad-CAM++ (Convex Hull),0.2473074800259451,0.3604794979454457,0.375,0.0625,244.072976480207,125.2975420932842,0.12000000000000002,0.5
7,PROPOSED   : Grad-CAM++ + B-Spline Active Contour,0.24346077916993164,0.3496049359511978,0.3375,0.1375,252.51584294366793,125.47980871598706,0.14758434666091422,0.5
